unix date,volume,fees
"1661817600","87875082.05115786","263625.24615347356"
"1661731200","51317283.51784146","153951.8505535244"
"1661644800","29566936.762514457","88700.81028754337"
"1661558400","42475519.764630295","127426.5592938909"
"1661472000","122481801.61773571","367445.4048532071"
"1661385600","40543131.96308985","121629.39588926957"
"1661299200","56390640.09661023","169171.92028983068"
"1661212800","77925302.90651196","233775.9087195359"
"1661126400","83591227.2688185","250773.68180645548"
"1661040000","65617207.79430916","196851.62338292747"
"1660953600","68029575.20926131","204088.72562778395"
"1660867200","102936305.20954864","308808.9156286459"
"1660780800","38846460.350427836","116539.3810512835"
"1660694400","70799659.28926867","212398.977867806"
"1660608000","48817661.35205652","146452.98405616957"
"1660521600","71194593.48421231","213583.78045263691"
"1660435200","29880477.45466425","89641.43236399275"
"1660348800","24131923.740950704","72395.77122285211"
"1660262400","43677986.93209444","131033.96079628331"
"1660176000","79556013.33317903","238668.03999953708"
"1660089600","91156938.56135623","273470.8156840687"
"1660003200","50615057.83396275","151845.17350188826"
"1659916800","49074103.490158714","147222.31047047614"
"1659830400","25266699.403978195","75800.09821193459"
"1659744000","26272668.09798558","78818.00429395674"
"1659657600","80662409.07071345","241987.22721214037"
"1659571200","61652184.81681861","184956.55445045582"
"1659484800","53848945.95046546","161546.83785139638"
"1659398400","111883863.44231093","335651.5903269328"
"1659312000","72466957.52530363","217400.8725759109"
"1659225600","54656376.35373202","163969.12906119606"
"1659139200","61533718.99300496","184601.1569790149"
"1659052800","106404810.83554092","319214.43250662275"
"1658966400","141835297.30146876","425505.89190440625"
"1658880000","104810431.01876599","314431.293056298"
"1658793600","80137811.97014447","240413.43591043339"
"1658707200","86607024.13584916","259821.07240754747"
"1658620800","65596060.914337665","196788.182743013"
"1658534400","55200110.86125186","165600.33258375557"
"1658448000","56448851.256764874","169346.55377029462"
"1658361600","84956656.51265244","254869.9695379573"
"1658275200","126230178.83357267","378690.53650071804"
"1658188800","131814881.05812426","395444.64317437273"
"1658102400","137925998.94965085","413777.99684895255"
"1658016000","94367337.91806172","283102.0137541852"
"1657929600","126102741.50127827","378308.2245038348"
"1657843200","108788815.6074942","326366.4468224826"
"1657756800","86469687.97861935","259409.06393585808"
"1657670400","96944428.33861002","290833.2850158301"
"1657584000","54320697.3149843","162962.0919449529"
"1657497600","69617643.36800048","208852.93010400143"
"1657411200","43023070.518519275","129069.21155555782"
"1657324800","29427286.719273146","88281.86015781944"
"1657238400","83192906.18925394","249578.7185677618"
"1657152000","47250344.2136649","141751.0326409947"
"1657065600","100810949.050046","302432.847150138"
"1656979200","84869717.65767072","254609.15297301215"
"1656892800","81443291.65068778","244329.87495206334"
"1656806400","48277595.122020125","144832.7853660604"
"1656720000","41757916.63894901","125273.74991684702"
"1656633600","103907482.22420381","311722.44667261146"
"1656547200","96914774.93204421","290744.3247961326"
"1656460800","99098214.23228373","297294.64269685117"
"1656374400","89764552.19331399","269293.656579942"
"1656288000","52723573.52808131","158170.72058424394"
"1656201600","67865456.88252325","203596.37064756977"
"1656115200","69597799.89079973","208793.39967239922"
"1656028800","116671540.09474932","350014.6202842479"
"1655942400","126559623.07706478","379678.8692311944"
"1655856000","132044688.17097874","396134.0645129362"
"1655769600","156836299.29801702","470508.8978940511"
"1655683200","233455884.46981516","700367.6534094454"
"1655596800","253021802.67857915","759065.4080357375"
"1655510400","245808708.7841788","737426.1263525364"
"1655424000","188766399.35443807","566299.1980633142"
"1655337600","213508077.6442857","640524.2329328571"
"1655251200","370854465.15788925","1112563.3954736677"
"1655164800","248667682.05698788","746003.0461709637"
"1655078400","319704541.6325288","959113.6248975863"
"1654992000","87140896.25376631","261422.68876129892"
"1654905600","93260872.09068948","279782.61627206847"
"1654819200","70103548.2762127","210310.64482863815"
"1654732800","29970470.558954075","89911.41167686222"
"1654646400","60371749.91713288","181115.24975139863"
"1654560000","97253258.27388495","291759.77482165484"
"1654473600","42912741.867269725","128738.22560180917"
"1654387200","22040372.71442071","66121.11814326212"
"1654300800","18640510.494005986","55921.53148201796"
"1654214400","35429746.35075298","106289.23905225894"
"1654128000","50192714.3422048","150578.14302661442"
"1654041600","62408905.27085464","187226.71581256393"
"1653955200","62671050.946661435","188013.1528399843"
"1653868800","91377862.73642325","274133.5882092698"
"1653782400","20763798.558406647","62291.39567521994"
"1653696000","46090554.879064076","138271.66463719224"
"1653609600","99887012.16428937","299661.0364928681"
"1653523200","174503830.6011446","523511.49180343386"
"1653436800","70858551.28321213","212575.65384963638"
"1653350400","61411881.28623482","184235.64385870445"
"1653264000","92646718.151498","277940.154454494"
"1653177600","47300790.05318949","141902.37015956847"
"1653091200","31656920.686460726","94970.76205938218"
"1653004800","89723667.60633531","269171.002819006"
"1652918400","110726037.42476979","332178.1122743094"
"1652832000","90571316.69205324","271713.95007615973"
"1652745600","86139817.48234437","258419.45244703314"
"1652659200","155650617.34966022","466951.85204898065"
"1652572800","73864029.06638306","221592.0871991492"
"1652486400","105834931.76564248","317504.79529692745"
"1652400000","205933617.61639404","617800.8528491821"
"1652313600","415594193.9740855","1246782.5819222566"
"1652227200","542940542.3895737","1628821.6271687213"
"1652140800","236279147.31509393","708837.4419452818"
"1652054400","268002029.59061906","804006.0887718572"
"1651968000","101294930.31726876","303884.7909518063"
"1651881600","46600917.52245367","139802.75256736102"
"1651795200","137782311.99318233","413346.935979547"
"1651708800","59213401.758556984","177640.20527567095"
"1651622400","57559232.84756815","172677.69854270446"
"1651536000","28157468.987361897","84472.40696208569"
"1651449600","48844208.29692083","146532.62489076247"
"1651363200","42433820.90628106","127301.46271884319"
"1651276800","45643444.34521985","136930.33303565954"
"1651190400","43973575.80947444","131920.72742842333"
"1651104000","58302959.64117196","174908.87892351588"
"1651017600","54855101.90916215","164565.30572748647"
"1650931200","71535009.71175984","214605.0291352795"
"1650844800","73065169.412644","219195.50823793202"
"1650758400","22118485.159039695","66355.45547711907"
"1650672000","18161824.924727865","54485.47477418359"
"1650585600","56139758.19204356","168419.27457613067"
"1650499200","82800373.86422074","248401.1215926622"
"1650412800","61204381.68363782","183613.14505091347"
"1650326400","42493474.760783754","127480.42428235126"
"1650240000","57909326.36448519","173727.97909345556"
"1650153600","82810873.21769738","248432.61965309214"
"1650067200","21838605.456815258","65515.81637044578"
"1649980800","38378838.38266532","115136.51514799596"
"1649894400","46845984.34419401","140537.95303258204"
"1649808000","79608325.32706697","238824.97598120093"
"1649721600","83234473.09579048","249703.41928737142"
"1649635200","119796664.90540269","359389.9947162081"
"1649548800","44786602.5803426","134359.8077410278"
"1649462400","38316030.67118854","114948.09201356562"
"1649376000","95374073.47625302","286122.22042875906"
"1649289600","95504017.53452007","286512.05260356027"
"1649203200","175452494.30790725","526357.4829237218"
"1649116800","76392651.15831621","229177.95347494862"
"1649030400","66178959.56086947","198536.87868260843"
"1648944000","58028917.184954986","174086.75155486495"
"1648857600","78509945.43789443","235529.8363136833"
"1648771200","89877730.13371626","269633.1904011488"
